,,,,,,
151,Nepalese Students' Association at Ole Miss,50,,,,
152,No Lost Generation,50,,,,
153,Ole Miss Ambassadors,50,,,,
154,Ole Miss Ambassadors for Southern Hospitality,50,,,,
155,Ole Miss Army ROTC Rebel Battalion,50,,,,
156,Ole Miss Ballroom Dance Club,50,,,,
157,Ole Miss Bodybuilding Club,50,,,,
158,Ole Miss Cardinal Club,50,,,,
159,Ole Miss Chapter of International Justice Mission,50,,,,
160,Ole Miss Collegiate DECA,50,,,,
161,Ole Miss eSports,50,,,,
162,Ole Miss Ethics Bowl Team,50,,,,
163,Ole Miss Food Bank,50,,,,
164,Ole Miss Generation,50,,,,
165,Ole Miss German Club,50,,,,
166,Ole Miss Karate Club,50,,,,
167,Ole Miss Milk and Cookies Association,50,,,,
168,Ole Miss Mock Trial Association,50,,,,
169,Ole Miss Phi Mu,50,,,,
170,Ole Miss Pro Rec,50,,,,
171,Ole Miss Psychology Club,50,,,,
172,Ole Miss Rebel Writers,50,,,,
173,Ole Miss Relay for Life,50,,,,
174,Ole Miss Robotics Club,50,,,,
175,Ole Miss Student Dance,50,,,,
176,Ole Miss Student Veterans of America,50,,,,
177,Ole Miss Table Tennis Club,50,,,,
178,Ole Miss Transfer Leadership Organization,50,,,,
179,Ole Miss Turning Point USA,50,,,,
180,Ole Miss Wesley Foundation,50,,,,
181,"Omega Psi Phi, Fraternity, Inc.",50,,,,
182,Omicron Delta Kappa,50,,,,
183,Order of Omega,50,,,,
184,Orientation Leaders,50,,,,
185,Orthodox Christian Fellowship,50,,,,
186,Out in STEM,50,,,,
187,OUTGrads,50,,,,
188,OUTlaw,50,,,,
189,Pakistan Student Association,50,,,,
190,PediaRebs,50,,,,
191,"Phi Alpha Delta Law Fraternity, International (Lamar Chapter)",50,,,,
192,Phi Beta Sigma Fraternity Inc. The Eta Beta Chapter,50,,,,
193,Phi Delta Chi,50,,,,
194,Phi Delta Phi,50,,,,
195,Phi Delta Theta,50,,,,
196,Phi Kappa Psi,50,,,,
197,Phi Kappa Tau,50,,,,
198,Phi Lambda Sigma: Pharmacy Leadership Society (Alpha Beta Chapter),50,,,,
199,Phi Mu Alpha Sinfonia,50,,,,
200,Phi Sigma Iota International Foreign Language Honor Society (Chi Alpha 268),50,,,,
201,Phi Theta Kappa Alumni - Gamma of Mississippi,50,,,,
202,Physics Graduate Student Association,50,,,,
203,Pi Beta Phi,50,,,,
204,Pi Kappa Alpha,50,,,,
205,Pi Kappa Phi,50,,,,
206,Planned Parenthood Generation Action Team,50,,,,
207,Pre-dental Society,50,,,,
208,Pre-Optometry Club,50,,,,
209,Prescription for Service,50,,,,
210,Public Interest Law Foundation,50,,,,
211,Queer People of Color,50,,,,
212,Ratio Christi,50,,,,
213,Rebel Companions,50,,,,
214,Rebel Global Connections,50,,,,
215,Rebel Irish Dancers,50,,,,
216,Rebel Sculpture Society,50,,,,
217,Rebel Wing,50,,,,
218,Rebels Against Sexual Assault,50,,,,
219,Rebels for Christ,50,,,,
220,Rebels for International Health and Education,50,,,,
221,Rebels for Life,50,,,,
222,Rebels' International,50,,,,
223,RebelTHON,50,,,,
224,Reformed University Fellowship,50,,,,
225,Residential Housing Association,50,,,,
226,Rho Chi,50,,,,
227,Rho Lambda,50,,,,
228,Running Club,50,,,,
229,Sand Volleyball Club,50,,,,
230,Saudi Arabian Students Organization,50,,,,
231,Serving Children of Incarcerated Parents,50,,,,
232,Sigma Alpha Epsilon,50,,,,
233,Sigma Alpha Lambda,50,,,,
234,Sigma Chi,50,,,,
235,Sigma Gamma Epsilon (Gamma Mu Chapter),50,,,,
236,Sigma Gamma Rho (Xi Zeta Chapter),50,,,,
237,Sigma Nu,50,,,,
238,Sigma Phi Lambda,50,,,,
239,Sigma Pi- Beta Mu Chapter,50,,,,
240,SO College: Unified Sports Club,50,,,,
241,Society for Future Intelligence Leaders,50,,,,
242,Society of Automotive Engineers,50,,,,
243,Society of Physics Students,50,,,,
244,Society of Women Engineers,50,,,,
245,Spoon University,50,,,,
246,Sport Club Council,50,,,,
247,STEM.MS,50,,,,
248,Student Activities Association,50,,,,
249,Student Alumni Council,50,,,,
250,Student Bar Association,50,,,,
251,Student Dietetic Association,50,,,,
252,Student Marketing Association,50,,,,
253,Student Members of the American Chemical Society,50,,,,
254,Student National Pharmaceutical Association,50,,,,
255,Student Personnel Association,50,,,,
256,Student Social Work Organization,50,,,,
257,Student Wellness Ambassadors,50,,,,
258,Students for a Safe Ride,50,,,,
259,Students United With America's ToothFairy,50,,,,
260,Taiwanese Student Association,50,,,,
261,Tau Beta Pi,50,,,,
262,"Tau Eta Chapter of Zeta Phi Beta Sorority, INC",50,,,,
263,Teachers of Tomorrow,50,,,,
264,The American Institute of Aeronautics and Astronautics,50,,,,
265,The Arabic Honors Society at the University of Mississippi,50,,,,
266,The Big Event,50,,,,
267,The Center for Open Source Analysis,50,,,,
268,The International Law Students Association- Ole Miss Law Chapter,50,,,,
269,The Ole Miss Junior Board for the Gift of Adoption Fund,50,,,,
270,The Ole Miss Wine Club,50,,,,
271,The Order of the Sword and Shield,50,,,,
272,The Richard L. Barnes Native American Law Student Association,50,,,,
273,The Society of Collegiate Leadership and Achievement,50,,,,
274,The Trent Lott Leadership Advisory Board,50,,,,
275,The UM Community Assistant Association,50,,,,
276,The University of Mississippi Bipartisan Coalition,50,,,,
277,The University of Mississippi Chapter of Team 36,50,,,,
278,The University of Mississippi College Diabetes Network,50,,,,
279,The University of Mississippi Gospel Choir,50,,,,
280,The University of Mississippi Jewish Community,50,,,,
281,The University of Mississippi Painting Guild,50,,,,
282,The University of Mississippi Political Review,50,,,,
283,The University of Mississippi Student Chapter of The American Association of Petroleum Geologists,50,,,,
284,The Wells Project at Ole Miss,50,,,,
285,"Theta Psi Chapter of Alpha Kappa Alpha Sorority, Incorporated",50,,,,
286,Together Enhancing Autism Awareness in Mississippi,50,,,,
287,UKirk: PC(USA) Campus Ministries,50,,,,
288,UM Beekeepers,50,,,,
289,UM College Democrats,50,,,,
290,UM Community English as a Second Language Program,50,,,,
291,UM Pride,50,,,,
292,Undergraduate Black Law Students Association,50,,,,
293,United Nations Association of the United States of America- Mississippi Chapter,50,,,,
294,Universities Fighting World Hunger,50,,,,
295,University Lions Club,50,,,,
296,University of Mississippi American Medical Women's Association,50,,,,
297,University of Mississippi Chapter of the Feminist Majority Foundation,50,,,,
298,University of Mississippi Chapter of The Sword and The Shield,50,,,,
299,University of Mississippi Fashion Society,50,,,,
300,University of Mississippi Fraternal Leadership and Learning,50,,,,
301,University of Mississippi Golf Club,50,,,,
302,University of Mississippi History Club,50,,,,
303,University of Mississippi IEEE Student Branch,50,,,,
304,University of Mississippi Investment Club,50,,,,
305,University of Mississippi Law School Student Animal Legal Defense Fund,50,,,,
306,University of Mississippi Moneythink Chapter,50,,,,
307,University of Mississippi Mud Daubers,50,,,,
308,University of Mississippi National Association for the Advancement of Colored People College Division,50,,,,
309,University of Mississippi Sisters of Faith Bible Study,50,,,,
310,University of Mississippi Women in Physics,50,,,,
311,University of Mississippi: Vote Everywhere,50,,,,
312,Vasari Society,50,,,,
313,Verve,50,,,,
314,Vietnamese American Student Association,50,,,,
315,Volunteers Around the World - Dental Outreach,50,,,,
316,Wakeboard Club,50,,,,
317,Water Polo Club,50,,,,
318,Women in Business,50,,,,
319,Women in Computer Science,50,,,,
320,Women's Club Soccer,50,,,,
321,Women's Club Volleyball,50,,,,
322,Women's Lacrosse Club,50,,,,
323,Women's Rugby Club,50,,,,
324,Women's Ultimate Frisbee Club,50,,,,
325,Young Americas Foundation,50,,,,
326,Young Life,50,,,,
327,Youth Movement Against Alzheimer's,50,,,,
